,latitude,longitude,elevation,time,heart_rate,cadence,geometry
0,40.688572,-73.970831,25.2,2022-02-10 12:02:06+00:00,101,82,POINT (-73.970831 40.688572)
1,40.688582,-73.970768,25.3,2022-02-10 12:02:07+00:00,101,82,POINT (-73.970768 40.688582)
2,40.688543,-73.970779,25.3,2022-02-10 12:02:08+00:00,102,0,POINT (-73.970779 40.688543)
3,40.688462,-73.970733,25.4,2022-02-10 12:02:09+00:00,103,0,POINT (-73.970733 40.688462)
4,40.688483,-73.970752,25.4,2022-02-10 12:02:10+00:00,104,0,POINT (-73.970752 40.688483)
5,40.688463,-73.97071,25.4,2022-02-10 12:02:11+00:00,104,0,POINT (-73.97071 40.688463)
6,40.68846,-73.970681,25.5,2022-02-10 12:02:12+00:00,102,0,POINT (-73.970681 40.68846)
7,40.688423,-73.970668,25.5,2022-02-10 12:02:13+00:00,101,0,POINT (-73.970668 40.688423)
8,40.68838,-73.970706,25.6,2022-02-10 12:02:14+00:00,99,0,POINT (-73.970706 40.68838)
9,40.688335,-73.970736,25.6,2022-02-10 12:02:15+00:00,98,82,POINT (-73.970736 40.688335)
10,40.688287,-73.970733,25.7,2022-02-10 12:02:16+00:00,98,82,POINT (-73.970733 40.688287)
11,40.688196,-73.970921,25.9,2022-02-10 12:02:17+00:00,98,83,POINT (-73.970921 40.688196)
12,40.688106,-73.97111,26.1,2022-02-10 12:02:18+00:00,97,83,POINT (-73.97111 40.688106)
13,40.688099,-73.971075,26.1,2022-02-10 12:02:19+00:00,98,83,POINT (-73.971075 40.688099)
14,40.68807,-73.97108,26.2,2022-02-10 12:02:20+00:00,98,83,POINT (-73.97108 40.68807)
15,40.688028,-73.971092,26.2,2022-02-10 12:02:21+00:00,99,83,POINT (-73.971092 40.688028)
16,40.688,-73.971104,26.2,2022-02-10 12:02:22+00:00,101,83,POINT (-73.971104 40.688)
17,40.68796,-73.971086,26.3,2022-02-10 12:02:23+00:00,103,83,POINT (-73.971086 40.68796)
18,40.687979,-73.971003,26.3,2022-02-10 12:02:24+00:00,105,83,POINT (-73.971003 40.687979)
19,40.687967,-73.970966,26.4,2022-02-10 12:02:25+00:00,107,84,POINT (-73.970966 40.687967)
20,40.687948,-73.970969,26.4,2022-02-10 12:02:26+00:00,109,84,POINT (-73.970969 40.687948)
21,40.687924,-73.97097,26.4,2022-02-10 12:02:27+00:00,111,84,POINT (-73.97097 40.687924)
22,40.687924,-73.970976,26.4,2022-02-10 12:02:28+00:00,111,83,POINT (-73.970976 40.687924)
23,40.687915,-73.970947,26.4,2022-02-10 12:02:29+00:00,113,83,POINT (-73.970947 40.687915)
24,40.687907,-73.970926,26.5,2022-02-10 12:02:30+00:00,115,84,POINT (-73.970926 40.687907)
25,40.687902,-73.970903,26.5,2022-02-10 12:02:31+00:00,116,84,POINT (-73.970903 40.687902)
26,40.687886,-73.970886,26.5,2022-02-10 12:02:32+00:00,119,84,POINT (-73.970886 40.687886)
27,40.687867,-73.970873,26.5,2022-02-10 12:02:33+00:00,121,84,POINT (-73.970873 40.687867)
28,40.687849,-73.97086,26.5,2022-02-10 12:02:34+00:00,123,85,POINT (-73.97086 40.687849)
29,40.687831,-73.970846,26.6,2022-02-10 12:02:35+00:00,123,85,POINT (-73.970846 40.687831)
30,40.687813,-73.970829,26.6,2022-02-10 12:02:36+00:00,126,85,POINT (-73.970829 40.687813)
