,Unnamed: 0,latitude,longitude,elevation,time,heart_rate,cadence,geometry,effort_zone
0,0,40.688497,-73.970898,25.5,2022-03-03 11:58:46+00:00,103,83,POINT (-73.970898 40.688497),1
1,1,40.688514,-73.970898,25.4,2022-03-03 11:58:51+00:00,99,0,POINT (-73.970898 40.688514),1
2,2,40.688518,-73.970909,25.4,2022-03-03 11:58:52+00:00,99,0,POINT (-73.970909 40.688518),1
3,3,40.688531,-73.970922,25.4,2022-03-03 11:58:53+00:00,100,0,POINT (-73.970922 40.688531),1
4,4,40.688545,-73.970934,25.4,2022-03-03 11:58:54+00:00,101,0,POINT (-73.970934 40.688545),1
5,5,40.688558,-73.970946,25.3,2022-03-03 11:58:55+00:00,102,82,POINT (-73.970946 40.688558),1
6,6,40.688572,-73.970953,25.3,2022-03-03 11:58:56+00:00,103,82,POINT (-73.970953 40.688572),1
7,7,40.688585,-73.970964,25.3,2022-03-03 11:58:57+00:00,104,82,POINT (-73.970964 40.688585),1
8,8,40.688603,-73.970975,25.2,2022-03-03 11:58:58+00:00,105,82,POINT (-73.970975 40.688603),1
9,9,40.688624,-73.970984,25.2,2022-03-03 11:58:59+00:00,107,83,POINT (-73.970984 40.688624),1
10,10,40.688648,-73.970996,25.1,2022-03-03 11:59:00+00:00,109,83,POINT (-73.970996 40.688648),1
11,11,40.688671,-73.971007,25.1,2022-03-03 11:59:01+00:00,111,83,POINT (-73.971007 40.688671),1
12,12,40.688694,-73.971023,25.0,2022-03-03 11:59:02+00:00,112,83,POINT (-73.971023 40.688694),1
13,13,40.688718,-73.971033,25.0,2022-03-03 11:59:03+00:00,114,83,POINT (-73.971033 40.688718),1
14,14,40.688739,-73.971049,24.9,2022-03-03 11:59:04+00:00,116,83,POINT (-73.971049 40.688739),1
15,15,40.688757,-73.971062,24.9,2022-03-03 11:59:05+00:00,117,83,POINT (-73.971062 40.688757),1
16,16,40.688773,-73.971071,24.8,2022-03-03 11:59:06+00:00,119,83,POINT (-73.971071 40.688773),1
17,17,40.688787,-73.971077,24.8,2022-03-03 11:59:07+00:00,120,84,POINT (-73.971077 40.688787),1
18,18,40.688799,-73.971081,24.8,2022-03-03 11:59:08+00:00,122,84,POINT (-73.971081 40.688799),1
19,19,40.688813,-73.971087,24.7,2022-03-03 11:59:09+00:00,123,84,POINT (-73.971087 40.688813),1
20,20,40.688827,-73.971093,24.7,2022-03-03 11:59:10+00:00,124,84,POINT (-73.971093 40.688827),1
21,21,40.688847,-73.9711,24.7,2022-03-03 11:59:11+00:00,125,85,POINT (-73.9711 40.688847),1
22,22,40.688871,-73.971104,24.6,2022-03-03 11:59:12+00:00,126,85,POINT (-73.971104 40.688871),1
23,23,40.688895,-73.971106,24.5,2022-03-03 11:59:13+00:00,127,85,POINT (-73.971106 40.688895),1
24,24,40.688918,-73.971107,24.5,2022-03-03 11:59:14+00:00,127,84,POINT (-73.971107 40.688918),1
25,25,40.688943,-73.971107,24.4,2022-03-03 11:59:15+00:00,128,84,POINT (-73.971107 40.688943),1
26,26,40.688967,-73.971109,24.4,2022-03-03 11:59:16+00:00,129,84,POINT (-73.971109 40.688967),1
27,27,40.688988,-73.971114,24.3,2022-03-03 11:59:17+00:00,130,84,POINT (-73.971114 40.688988),1
28,28,40.689006,-73.971121,24.3,2022-03-03 11:59:18+00:00,130,84,POINT (-73.971121 40.689006),1
29,29,40.689026,-73.971122,24.2,2022-03-03 11:59:19+00:00,130,84,POINT (-73.971122 40.689026),1
30,30,40.689045,-73.971127,24.2,2022-03-03 11:59:20+00:00,131,84,POINT (-73.971127 40.689045),1
31,31,40.689066,-73.971129,24.2,2022-03-03 11:59:21+00:00,131,85,POINT (-73.971129 40.689066),1
32,32,40.689084,-73.971129,24.1,2022-03-03 11:59:22+00:00,131,85,POINT (-73.971129 40.689084),1
33,33,40.689106,-73.971135,24.1,2022-03-03 11:59:23+00:00,132,85,POINT (-73.971135 40.689106),1
34,34,40.689129,-73.971138,24.0,2022-03-03 11:59:24+00:00,132,85,POINT (-73.971138 40.689129),1
35,35,40.689149,-73.971141,24.0,2022-03-03 11:59:25+00:00,132,85,POINT (-73.971141 40.689149),1
36,36,40.689167,-73.971147,23.9,2022-03-03 11:59:26+00:00,132,86,POINT (-73.971147 40.689167),1
37,37,40.689184,-73.971154,23.9,2022-03-03 11:59:27+00:00,133,86,POINT (-73.971154 40.689184),1
38,38,40.689198,-73.971163,23.9,2022-03-03 11:59:28+00:00,133,86,POINT (-73.971163 40.689198),1
39,39,40.689212,-73.97117,23.8,2022-03-03 11:59:29+00:00,133,86,POINT (-73.97117 40.689212),1
40,40,40.689229,-73.971178,23.8,2022-03-03 11:59:30+00:00,133,86,POINT (-73.971178 40.689229),1
41,41,40.689245,-73.971183,23.8,2022-03-03 11:59:31+00:00,133,86,POINT (-73.971183 40.689245),1
42,42,40.68927,-73.971195,23.7,2022-03-03 11:59:32+00:00,133,86,POINT (-73.971195 40.68927),1
43,43,40.689288,-73.971213,23.7,2022-03-03 11:59:33+00:00,134,85,POINT (-73.971213 40.689288),1
44,44,40.689313,-73.971252,23.6,2022-03-03 11:59:34+00:00,134,85,POINT (-73.971252 40.689313),1
45,45,40.689336,-73.971291,23.3,2022-03-03 11:59:35+00:00,134,85,POINT (-73.971291 40.689336),1
46,46,40.689353,-73.971329,23.3,2022-03-03 11:59:36+00:00,135,85,POINT (-73.971329 40.689353),1
47,47,40.689359,-73.971356,23.3,2022-03-03 11:59:37+00:00,135,85,POINT (-73.971356 40.689359),1
48,48,40.689361,-73.971383,23.3,2022-03-03 11:59:38+00:00,135,83,POINT (-73.971383 40.689361),1
49,49,40.689366,-73.971409,23.1,2022-03-03 11:59:39+00:00,136,83,POINT (-73.971409 40.689366),1
50,50,40.689363,-73.971437,23.0,2022-03-03 11:59:40+00:00,136,83,POINT (-73.971437 40.689363),1
51,51,40.689364,-73.971465,23.0,2022-03-03 11:59:41+00:00,136,83,POINT (-73.971465 40.689364),1
52,52,40.689361,-73.971494,22.9,2022-03-03 11:59:42+00:00,137,84,POINT (-73.971494 40.689361),1
53,53,40.689359,-73.971526,22.9,2022-03-03 11:59:43+00:00,137,84,POINT (-73.971526 40.689359),1
54,54,40.689353,-73.971554,22.8,2022-03-03 11:59:44+00:00,138,84,POINT (-73.971554 40.689353),1
55,55,40.689351,-73.971582,22.8,2022-03-03 11:59:45+00:00,139,84,POINT (-73.971582 40.689351),1
56,56,40.689352,-73.97161,22.8,2022-03-03 11:59:46+00:00,139,85,POINT (-73.97161 40.689352),1
57,57,40.689355,-73.971635,22.7,2022-03-03 11:59:47+00:00,139,85,POINT (-73.971635 40.689355),1
58,58,40.689356,-73.97166,22.7,2022-03-03 11:59:48+00:00,141,85,POINT (-73.97166 40.689356),1
59,59,40.689356,-73.97169,22.6,2022-03-03 11:59:49+00:00,141,85,POINT (-73.97169 40.689356),1
60,60,40.689358,-73.971721,22.6,2022-03-03 11:59:50+00:00,141,85,POINT (-73.971721 40.689358),1
61,61,40.689363,-73.97175,22.5,2022-03-03 11:59:51+00:00,142,86,POINT (-73.97175 40.689363),1
62,62,40.689367,-73.971778,22.5,2022-03-03 11:59:52+00:00,142,86,POINT (-73.971778 40.689367),1
63,63,40.689367,-73.971807,22.4,2022-03-03 11:59:53+00:00,142,84,POINT (-73.971807 40.689367),1
64,64,40.689369,-73.971834,22.4,2022-03-03 11:59:54+00:00,142,84,POINT (-73.971834 40.689369),1
65,65,40.689369,-73.971863,22.4,2022-03-03 11:59:55+00:00,142,85,POINT (-73.971863 40.689369),1
66,66,40.689372,-73.97189,22.3,2022-03-03 11:59:56+00:00,142,85,POINT (-73.97189 40.689372),1
67,67,40.689377,-73.971917,22.3,2022-03-03 11:59:57+00:00,142,85,POINT (-73.971917 40.689377),1
68,68,40.689382,-73.971947,22.2,2022-03-03 11:59:58+00:00,142,85,POINT (-73.971947 40.689382),1
69,69,40.68939,-73.971979,22.2,2022-03-03 11:59:59+00:00,142,85,POINT (-73.971979 40.68939),1
70,70,40.689395,-73.972008,22.1,2022-03-03 12:00:00+00:00,142,85,POINT (-73.972008 40.689395),1
71,71,40.689395,-73.972039,22.1,2022-03-03 12:00:01+00:00,142,86,POINT (-73.972039 40.689395),1
72,72,40.6894,-73.972067,22.1,2022-03-03 12:00:02+00:00,142,86,POINT (-73.972067 40.6894),1
73,73,40.689405,-73.972093,22.0,2022-03-03 12:00:03+00:00,143,86,POINT (-73.972093 40.689405),1
74,74,40.689406,-73.972122,22.0,2022-03-03 12:00:04+00:00,142,86,POINT (-73.972122 40.689406),1
75,75,40.689406,-73.972152,22.0,2022-03-03 12:00:05+00:00,143,86,POINT (-73.972152 40.689406),1
76,76,40.689405,-73.972183,21.9,2022-03-03 12:00:06+00:00,142,86,POINT (-73.972183 40.689405),1
77,77,40.689409,-73.972214,21.9,2022-03-03 12:00:07+00:00,142,85,POINT (-73.972214 40.689409),1
78,78,40.68941,-73.972244,21.9,2022-03-03 12:00:08+00:00,142,85,POINT (-73.972244 40.68941),1
