,latitude,longitude,elevation,time,heart_rate,cadence,geometry
0,40.688268,-73.971265,25.9,2022-02-28 11:53:49+00:00,97,83,POINT (-73.971265 40.688268)
1,40.688264,-73.971261,25.9,2022-02-28 11:53:50+00:00,96,83,POINT (-73.971261 40.688264)
2,40.688236,-73.97123,26.0,2022-02-28 11:53:51+00:00,96,0,POINT (-73.97123 40.688236)
3,40.688222,-73.971218,26.0,2022-02-28 11:53:52+00:00,98,0,POINT (-73.971218 40.688222)
4,40.688209,-73.971201,26.1,2022-02-28 11:53:53+00:00,98,0,POINT (-73.971201 40.688209)
5,40.688192,-73.971184,26.1,2022-02-28 11:53:54+00:00,98,0,POINT (-73.971184 40.688192)
6,40.688176,-73.971168,26.1,2022-02-28 11:53:55+00:00,98,0,POINT (-73.971168 40.688176)
7,40.688159,-73.971147,26.2,2022-02-28 11:53:56+00:00,98,0,POINT (-73.971147 40.688159)
8,40.68814,-73.97113,26.2,2022-02-28 11:53:57+00:00,98,0,POINT (-73.97113 40.68814)
9,40.688118,-73.971114,26.3,2022-02-28 11:53:58+00:00,107,83,POINT (-73.971114 40.688118)
10,40.688094,-73.971104,26.3,2022-02-28 11:53:59+00:00,107,83,POINT (-73.971104 40.688094)
11,40.688077,-73.971088,26.4,2022-02-28 11:54:00+00:00,107,83,POINT (-73.971088 40.688077)
12,40.688073,-73.971078,26.4,2022-02-28 11:54:01+00:00,107,83,POINT (-73.971078 40.688073)
13,40.688058,-73.971066,26.4,2022-02-28 11:54:02+00:00,107,83,POINT (-73.971066 40.688058)
14,40.688037,-73.971059,26.4,2022-02-28 11:54:03+00:00,107,84,POINT (-73.971059 40.688037)
15,40.688015,-73.971053,26.5,2022-02-28 11:54:04+00:00,107,83,POINT (-73.971053 40.688015)
16,40.687996,-73.971044,26.5,2022-02-28 11:54:05+00:00,108,84,POINT (-73.971044 40.687996)
17,40.687975,-73.971037,26.5,2022-02-28 11:54:06+00:00,109,84,POINT (-73.971037 40.687975)
18,40.687957,-73.971029,26.6,2022-02-28 11:54:07+00:00,109,84,POINT (-73.971029 40.687957)
19,40.687939,-73.971011,26.6,2022-02-28 11:54:08+00:00,109,85,POINT (-73.971011 40.687939)
20,40.687919,-73.971007,26.7,2022-02-28 11:54:09+00:00,109,85,POINT (-73.971007 40.687919)
21,40.687901,-73.971,26.7,2022-02-28 11:54:10+00:00,109,85,POINT (-73.971 40.687901)
22,40.687886,-73.970993,26.7,2022-02-28 11:54:11+00:00,111,85,POINT (-73.970993 40.687886)
23,40.687868,-73.970984,26.7,2022-02-28 11:54:12+00:00,112,85,POINT (-73.970984 40.687868)
24,40.687847,-73.970973,26.8,2022-02-28 11:54:13+00:00,112,85,POINT (-73.970973 40.687847)
25,40.687829,-73.970961,26.8,2022-02-28 11:54:14+00:00,112,85,POINT (-73.970961 40.687829)
26,40.687813,-73.970954,26.9,2022-02-28 11:54:15+00:00,112,85,POINT (-73.970954 40.687813)
27,40.687797,-73.970942,26.9,2022-02-28 11:54:16+00:00,112,85,POINT (-73.970942 40.687797)
28,40.687777,-73.970941,26.9,2022-02-28 11:54:17+00:00,114,85,POINT (-73.970941 40.687777)
29,40.68777,-73.970907,27.0,2022-02-28 11:54:18+00:00,114,85,POINT (-73.970907 40.68777)
